Species,Family,Genus,BioStatus,PlantType,Palatibility,GrowthForm,VernacularNames,ThreatenedStatus,NumPlots,NumObs,Cover,CoverCombined
"Craspedia ""grey""",,,Unknown,Vascular,Unclassified,Forb,,Unknown,1,1,0.0000,0.0000
"Craspedia ""short hairs""",,,Unknown,Vascular,Unclassified,Forb,,Unknown,4,4,0.0000,0.0000
"Craspedia ""test tube cleaner""",,,Unknown,Vascular,Unclassified,Forb,,Unknown,2,2,0.0000,0.0000
"Craspedia ""woolly margin""",,,Unknown,Vascular,Unclassified,Forb,,Unknown,5,5,0.0000,0.0000
Craspedia incana,Compositae,Craspedia,Indigenous Endemic,Vascular,Unclassified,Forb,,Nationally Critical,87,97,0.0000,0.0000
Craspedia lanata,Compositae,Craspedia,Indigenous Endemic,Vascular,Unclassified,Forb,,Not threatened (assumed),100,103,0.0000,0.0000
Craspedia lanata var. elongata,Compositae,Craspedia,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,0,0,0.0000,0.0000
Craspedia lanata var. lanata,Compositae,Craspedia,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,0,0,0.0000,0.0000
Craspedia major,Compositae,Craspedia,Indigenous Endemic,Vascular,Unclassified,Forb,,Not threatened (assumed),24,31,0.0000,0.0000
Craspedia minor,Compositae,Craspedia,Indigenous Endemic,Vascular,Unclassified,Forb,Small craspedia;,Not Threatened,18,18,0.0000,0.0000
Craspedia minor var. minor,Compositae,Craspedia,Indigenous Endemic,Vascular,Unclassified,Forb,,Not threatened (assumed),0,0,0.0000,0.0000
Craspedia minor var. viscosa,Compositae,Craspedia,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,0,0,0.0000,0.0000
Craspedia robusta,Compositae,Craspedia,Indigenous Endemic,Vascular,Unclassified,Forb,,Not threatened (assumed),4,5,0.0000,0.0000
Craspedia robusta var. pedicellata,Compositae,Craspedia,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,0,0,0.0000,0.0000
Craspedia robusta var. robusta,Compositae,Craspedia,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,0,0,0.0000,0.0000
Craspedia tagname Mt Anglem,,,Unknown,Vascular,Unclassified,Forb,,Unknown,0,0,0.0000,0.0000
Craspedia uniflora,Compositae,Craspedia,Indigenous Endemic,Vascular,Unclassified,Forb,,Not threatened (assumed),191,237,0.0000,0.0001
Craspedia uniflora var. grandis,Compositae,Craspedia,Indigenous Endemic,Vascular,Unclassified,Forb,,Declining,0,0,0.0000,0.0000
Craspedia uniflora var. maritima,Compositae,Craspedia,Indigenous Endemic,Vascular,Unclassified,Forb,,Declining,0,0,0.0000,0.0000
Craspedia uniflora var. subhispida,Compositae,Craspedia,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,0,0,0.0000,0.0000
Craspedia uniflora var. uniflora,Compositae,Craspedia,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,0,0,0.0000,0.0000
Crassula alata,Crassulaceae,Crassula,Exotic,Vascular,Unclassified,Forb,,Not threatened (assumed),0,0,0.0000,0.0000
Crassula colligata,Crassulaceae,Crassula,Indigenous Non-Endemic,Vascular,Unclassified,Forb,,Not threatened (assumed),0,0,0.0000,0.0000
Crassula colligata subsp. colligata,Crassulaceae,Crassula,Indigenous Non-Endemic,Vascular,Unclassified,Forb,,Not Threatened,10,10,0.0000,0.0000
Crassula decumbens,Crassulaceae,Crassula,Exotic,Vascular,Unclassified,Forb,Cape crassula;,Not threatened (assumed),0,0,0.0000,0.0000
Crassula helmsii,Crassulaceae,Crassula,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,0,0,0.0000,0.0000
Crassula kirkii,Crassulaceae,Crassula,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,0,0,0.0000,0.0000
Crassula manaia,Crassulaceae,Crassula,Indigenous Endemic,Vascular,Unclassified,Forb,,Nationally Vulnerable,2,2,0.0000,0.0000
Crassula mataikona,Crassulaceae,Crassula,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,0,0,0.0000,0.0000
Crassula moschata,Crassulaceae,Crassula,Indigenous Non-Endemic,Vascular,Unclassified,Forb,Shore stonecrop;,Not Threatened,8,9,0.0000,0.0000
Crassula multicaulis,Crassulaceae,Crassula,Indigenous Endemic,Vascular,Unclassified,Forb,,Nationally Endangered,2,2,0.0000,0.0000
Crassula multicava,Crassulaceae,Crassula,Exotic,Vascular,Unclassified,Forb,Fairy crassula;,Not threatened (assumed),0,0,0.0000,0.0000
Crassula peduncularis,Crassulaceae,Crassula,Indigenous Non-Endemic,Vascular,Unclassified,Forb,,Nationally Critical,0,0,0.0000,0.0000
Crassula sieberiana,Crassulaceae,Crassula,Indigenous Non-Endemic,Vascular,Unclassified,Forb,,Not Threatened,32,35,0.0000,0.0000
Crassula sinclairii,Crassulaceae,Crassula,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,1,1,0.0000,0.0000
Crataegus monogyna,Rosaceae,Crataegus,Exotic,Vascular,Unclassified,Tree,Hawthorn; Neapolitan medlar; White hawthorn;,Not threatened (assumed),68,97,0.0004,0.0003
Cratoneuropsis relaxa,Amblystegiaceae,Cratoneuropsis,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Crepis capillaris,Compositae,Crepis,Exotic,Vascular,Unclassified,Forb,smooth hawksbeard;,Not threatened (assumed),968,1175,0.0000,0.0004
Crepis setosa,Compositae,Crepis,Exotic,Vascular,Unclassified,Forb,Bristly hawksbeard;,Not threatened (assumed),1,1,0.0000,0.0000
Crepis vesicaria,Compositae,Crepis,Exotic,Vascular,Unclassified,Forb,Beaked hawksbeard;,Not threatened (assumed),0,0,0.0000,0.0000
Crepis vesicaria subsp. taraxacifolia,Compositae,Crepis,Exotic,Vascular,Unclassified,Forb,Beaked hawksbeard;,Not threatened (assumed),0,0,0.0000,0.0000
Crocodia aurata,Lobariaceae,Crocodia,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Crocodia poculifera,Lobariaceae,Crocodia,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Crocodia rubella,Lobariaceae,Crocodia,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Crocosmia xcrocosmiiflora,Iridaceae,Crocosmia,Exotic,Vascular,Unclassified,Graminoid,Crocosmia; Montbretia;,Not threatened (assumed),4,6,0.0000,0.0000
Crosbya straminea,Daltoniaceae,Crosbya,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Crustose Lichen soredios,,,Unknown,Non Vascular,Unclassified,NonVascular,,Unknown,0,0,0.0000,0.0000
Cryphaea acuminata,Cryphaeaceae,Cryphaea,Indigenous Endemic,Non Vascular,Unclassified,Nonvascular,,Not threatened (assumed),0,0,0.0000,0.0000
Cryphaea tenella,Cryphaeaceae,Cryphaea,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),1,1,0.0000,0.0000
Cryptolophocolea aculeata,Lophocoleaceae,Chiloscyphus,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),1,1,0.0000,0.0000
Cryptolophocolea helmsiana,Lophocoleaceae,Chiloscyphus,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,,Not threatened (assumed),1,1,0.0000,0.0000
Cryptolophocolea leucophylla,Lophocoleaceae,Chiloscyphus,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Cryptolophocolea mitteniana,Lophocoleaceae,Chiloscyphus,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Cryptolophocolea pallida,Lophocoleaceae,Cryptolophocolea,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Cryptolophocolea spinifera,Lophocoleaceae,Chiloscyphus,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Cryptolophocolea trialata,Lophocoleaceae,Cryptolophocolea,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Cryptolophocolea tuberculata,Lophocoleaceae,Chiloscyphus,Indigenous Endemic,Non vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Cryptomeria japonica,Cupressaceae,Cryptomeria,Exotic,Vascular,Unclassified,Tree,Japanese cedar; Sugi;,Not threatened (assumed),2,4,0.0000,0.0000
Cryptoplagiochila radiculosa,Plagiochilaceae,Cryptoplagiochila,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),1,1,0.0000,0.0000
Cryptopodium bartramioides,Rhizogoniaceae,Cryptopodium,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Cryptostylis subulata,Orchidaceae,Cryptostylis,Indigenous Non-Endemic,Vascular,Unclassified,Forb,Duck bill orchid; Tongue orchid;,Coloniser,0,0,0.0000,0.0000
Ctenidium pubescens,Hypnaceae,Ctenidium,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Cumulolejeunea ocellata,Lejeuneaceae,Cumulolejeunea,Indigenous Non-Endemic,Non Vascular,Unclassified,Nonvascular,,Not threatened (assumed),0,0,0.0000,0.0000
Cunninghamia lanceolata,Cupressaceae,Cunninghamia,Exotic,Vascular,Unclassified,Tree,China fir; Chinese coffin tree; Chinese fir;,Not threatened (assumed),0,0,0.0000,0.0000
Cupressus sempervirens,Cupressaceae,Cupressus,Exotic,Vascular,Unclassified,Tree,Italian cypress; Mediterranean cypress;,Not threatened (assumed),0,0,0.0000,0.0000
Cuscuta epithymum,Convolvulaceae,Cuscuta,Exotic,Vascular,Unclassified,Vine,Clover dodder; Dodder;,Not threatened (assumed),19,20,0.0000,0.0000
Cuspidatula kirkii,Adelanthaceae,Cuspidatula,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Cuspidatula monodon,Adelanthaceae,Cuspidatula,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),1,1,0.0000,0.0000
Cyathea colensoi,Cyatheaceae,Cyathea,Indigenous Endemic,Vascular,Unclassified,Treefern,creeping tree fern; mountain tree fern;,Not Threatened,874,1304,0.0000,0.0011
Cyathea cooperi,Cyatheaceae,Cyathea,Exotic,Vascular,Unclassified,Treefern,Cicatrice tree fern; straw tree fern;,Not threatened (assumed),0,0,0.0000,0.0000
Cyathea cunninghamii,Cyatheaceae,Cyathea,Indigenous Non-Endemic,Vascular,Unclassified,Treefern,gully tree fern; ponga; p?nui; slender tree fern;,Not Threatened,236,413,0.0009,0.0006
Cyathea dealbata,Cyatheaceae,Alsophila,Indigenous Endemic,Vascular,Avoided,Treefern,Kaponga; k?tote; ponga; punga; silver fern;,Not Threatened,2632,3586,0.0326,0.0225
Cyathea kermadecensis,Cyatheaceae,Cyathea,Indigenous Endemic,Vascular,Unclassified,Treefern,,Naturally Uncommon,0,0,0.0000,0.0000
Cyathea medullaris,Cyatheaceae,Cyathea,Indigenous Non-Endemic,Vascular,Unclassified,Treefern,Black mamaku; black tree fern; kat?t?; k?rau; mamaku; p?tau;,Not Threatened,972,1276,0.0052,0.0036
Cyathea milnei,Cyatheaceae,Cyathea,Indigenous Endemic,Vascular,Unclassified,Treefern,,Naturally Uncommon,0,0,0.0000,0.0000
Cyathea smithii,Cyatheaceae,Alsophila,Indigenous Endemic,Vascular,Avoided,Treefern,k?tote; Neineikura; ponga; Smith's tree fern; soft tree fern; Wh?;,Not Threatened,2778,4454,0.0217,0.0150
Cyathophorum bulbosum,Hypopterygiaceae,Cyathophorum,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),69,72,0.0000,0.0000
Cyclosorus interruptus,Thelypteridaceae,Cyclosorus,Indigenous Non-Endemic,Vascular,Unclassified,Fern,,Declining,2,2,0.0000,0.0000
Cyclosorus pennigera,Thelypteridaceae,Cyclosorus,Unknown,Vascular,Unclassified,Fern,,Not threatened (assumed),1,1,0.0000,0.0000
Cyclospermum leptophyllum,Umbelliferae,Cyclospermum,Exotic,Vascular,Unclassified,Forb,Slender celery;,Not threatened (assumed),2,2,0.0000,0.0000
Cymbalaria muralis,Plantaginaceae,Cymbalaria,Exotic,Vascular,Unclassified,Forb,Ivy-leaved toadflax; Kenilworth ivy;,Not threatened (assumed),1,1,0.0000,0.0000
Cynodon dactylon,Gramineae,Cynodon,Exotic,Vascular,Unclassified,Graminoid,Bermuda grass; Couch; Indian doab; South African couch;,Not threatened (assumed),10,11,0.0000,0.0000
Cynosurus cristatus,Gramineae,Cynosurus,Exotic,Vascular,Unclassified,Graminoid,crested dogstail; Crested dog's-tail;,Not threatened (assumed),115,141,0.0000,0.0002
Cynosurus echinatus,Gramineae,Cynosurus,Exotic,Vascular,Unclassified,Graminoid,rough dogstail; Rough dog's-tail;,Not threatened (assumed),8,9,0.0000,0.0000
Cyperus alternifolius subsp. flabelliformis,Cyperaceae,Cyperus,Exotic,Vascular,Unclassified,Graminoid,dwarf papyrus; Umbrella plant;,Not threatened (assumed),0,0,0.0000,0.0000
Cyperus brevifolius,Cyperaceae,Cyperus,Exotic,Vascular,Unclassified,Graminoid,Globe sedge; Mullumbimby couch;,Not threatened (assumed),5,5,0.0000,0.0000
Cyperus congestus,Cyperaceae,Cyperus,Exotic,Vascular,Unclassified,Graminoid,purple umbrella sedge;,Not threatened (assumed),4,4,0.0000,0.0000
Cyperus eragrostis,Cyperaceae,Cyperus,Exotic,Vascular,Unclassified,Graminoid,Puketangata; Umbrella sedge;,Not threatened (assumed),30,59,0.0000,0.0001
Cyperus insularis,Cyperaceae,Cyperus,Indigenous Endemic,Vascular,Unclassified,Graminoid,,Declining,1,1,0.0000,0.0000
Cyperus polystachyos,Cyperaceae,Cyperus,Exotic,Vascular,Unclassified,Graminoid,,Not threatened (assumed),0,0,0.0000,0.0000
Cyperus rotundus,Cyperaceae,Cyperus,Exotic,Vascular,Unclassified,Graminoid,Nutgrass; purple nut sedge;,Not threatened (assumed),0,0,0.0000,0.0000
Cyperus ustulatus,Cyperaceae,Cyperus,Indigenous Endemic,Vascular,Unclassified,Graminoid,Coastal cutty grass; Cyperus; Giant umbrella sedge; Toetoe; Toetoe upokotangata; Toetoe whatu-manu; Toetoe whatu-p?kau; Upokotangata;,Not Threatened,100,126,0.0000,0.0002
Cyptodon dilatatus,Cryphaeaceae,Cyptodon,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Cyrtopus setosus,Cyrtopodaceae,Cyrtopus,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Cyrtostylis oblonga,Orchidaceae,Cyrtostylis,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,2,2,0.0000,0.0000
Cyrtostylis reniformis,Orchidaceae,Acianthus,Absent,Vascular,Unclassified,Forb,Gnat orchid;,Not threatened (assumed),20,20,0.0000,0.0000
Cyrtostylis rotundifolia,Orchidaceae,Cyrtostylis,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,0,0,0.0000,0.0000
Cystopteris fragilis,Cystopteridaceae,Cystopteris,Exotic,Vascular,Unclassified,Fern,Brittle bladder fern;,Not threatened (assumed),14,14,0.0000,0.0000
Cystopteris tasmanica,Cystopteridaceae,Cystopteris,Indigenous Non-Endemic,Vascular,Unclassified,Fern,bladder fern;,Not Threatened,27,38,0.0000,0.0000
Cytisus scoparius,Leguminosae,Cytisus,Exotic,Vascular,Unclassified,Shrub,Broom; English broom; Scotch broom; Wild broom;,Not threatened (assumed),259,326,0.0021,0.0014
Cytisus spinosus,Leguminosae,Cytisus,Exotic,Vascular,Unclassified,Shrub,,Not threatened (assumed),0,0,0.0000,0.0000
Dacrycarpus dacrydioides,Podocarpaceae,Dacrycarpus,Indigenous Endemic,Vascular,Unclassified,Tree,Kahika; Kahikatea; Kaikatea; Katea; K?aka; Koro?; white pine; White pine (NZ);,Not Threatened,1051,1477,0.0061,0.0042
Dacrydium cupressinum,Podocarpaceae,Dacrydium,Indigenous Endemic,Vascular,Avoided,Tree,,Not threatened (assumed),2478,3856,0.0182,0.0125
Dactylanthus taylorii,Mystropetalaceae,Dactylanthus,Indigenous Endemic,Vascular,Unclassified,Shrub,,Nationally Vulnerable,0,0,0.0000,0.0000
Dactylis glomerata,Gramineae,Dactylis,Exotic,Vascular,Unclassified,Graminoid,cocksfoot;,Not threatened (assumed),858,1071,0.0000,0.0022
Dahlia coccinea x pinnata,Compositae,Dahlia,Exotic,Vascular,Unclassified,Forb,Dahlia;,Not threatened (assumed),0,0,0.0000,0.0000
Daltonia splachnoides,Daltoniaceae,Daltonia,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Damnamenia vernicosa,Compositae,Damnamenia,Indigenous Endemic,Vascular,Unclassified,SubShrub,,Naturally Uncommon,0,0,0.0000,0.0000
Danhatchia australis,Orchidaceae,Danhatchia,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,0,0,0.0000,0.0000
Danthonia decumbens,Gramineae,Danthonia,Exotic,Vascular,Unclassified,Graminoid,Heath grass;,Not threatened (assumed),1,1,0.0000,0.0000
Daphne laureola,Thymelaeaceae,Daphne,Exotic,Vascular,Unclassified,Unknown,spurge laurel;,Not threatened (assumed),0,0,0.0000,0.0000
Datura stramonium,Solanaceae,Datura,Exotic,Vascular,Unclassified,Forb,Common thornapple; Jimsons weed; purple thornapple; Thornapple;,Not threatened (assumed),0,0,0.0000,0.0000
Daucus carota,Umbelliferae,Daucus,Exotic,Vascular,Unclassified,Forb,carrot; wild carrot;,Not threatened (assumed),44,49,0.0000,0.0000
Daucus decipiens,Umbelliferae,Daucus,Exotic,Vascular,Unclassified,Forb,,Not threatened (assumed),0,0,0.0000,0.0000
Daucus glochidiatus,Umbelliferae,Daucus,Indigenous Non-Endemic,Vascular,Unclassified,Forb,Australian carrot; New Zealand carrot; Pinaki; Pinakitere;,Declining,1,1,0.0000,0.0000
Davallia tasmanii,Davalliaceae,Davallia,Indigenous Endemic,Vascular,Unclassified,Fern,,Not threatened (assumed),0,0,0.0000,0.0000
Davallia tasmanii subsp. cristata,Davalliaceae,Davallia,Indigenous Endemic,Vascular,Unclassified,Fern,,Nationally Critical,0,0,0.0000,0.0000
Davallia tasmanii subsp. tasmanii,Davalliaceae,Davallia,Indigenous Endemic,Vascular,Unclassified,Fern,,Naturally Uncommon,0,0,0.0000,0.0000
Dawsonia superba,Polytrichaceae,Dawsonia,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),48,59,0.0000,0.0000
Degelia durietzii,Pannariaceae,Degelia,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Degelia gayana,Pannariaceae,Degelia,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Degeliella rosulata,Pannariaceae,Degeliella,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Delairea odorata,Compositae,Delairea,Exotic,Vascular,Unclassified,Forb,German ivy;,Not threatened (assumed),2,2,0.0000,0.0000
Dendrobium cunninghamii,Orchidaceae,Dendrobium,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,603,831,0.0000,0.0002
Dendroceros granulatus,Dendrocerotaceae,Dendroceros,Indigenous Endemic,Non Vascular,Unclassified,Nonvascular,,Not threatened (assumed),0,0,0.0000,0.0000
Dendroceros validus,Dendrocerotaceae,Dendroceros,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Dendrocryphaea tasmanica,Cryphaeaceae,Dendrocryphaea,Indigenous Non-Endemic,Non Vascular,Unclassified,Nonvascular,,Not threatened (assumed),0,0,0.0000,0.0000
Dendrohypopterygium filiculiforme,Hypopterygiaceae,Dendrohypopterygium,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Dendroligotrichum tongariroense,Polytrichaceae,Dendroligotrichum,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),82,92,0.0000,0.0001
Dendromastigophora flagellifera,Mastigophoraceae,Dendromastigophora,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),1,1,0.0000,0.0000
Deparia petersenii,Athyriaceae,Deparia,Indigenous Non-Endemic,Vascular,Unclassified,Fern,Japanese lady fern;,Not threatened (assumed),30,34,0.0000,0.0000
Deparia petersenii subsp. congrua,Athyriaceae,Athyrium,Indigenous Non-Endemic,Vascular,Unclassified,Fern,,Not Threatened,0,0,0.0000,0.0000
Dermatocarpon luridum,Verrucariaceae,Dermatocarpon,Absent,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),1,1,0.0000,0.0000
Deschampsia cespitosa,Gramineae,Deschampsia,Indigenous Non-Endemic,Vascular,Unclassified,Graminoid,Golden hair grass; Tufted hair-grass;,Declining,2,2,0.0000,0.0000
Deschampsia chapmanii,Gramineae,Deschampsia,Indigenous Endemic,Vascular,Unclassified,Graminoid,,Not Threatened,46,46,0.0000,0.0000
Deschampsia flexuosa,Gramineae,Deschampsia,Exotic,Vascular,Unclassified,Graminoid,,Not threatened (assumed),0,0,0.0000,0.0000
Deschampsia gracillima,Gramineae,Deschampsia,Indigenous Endemic,Vascular,Unclassified,Graminoid,,Naturally Uncommon,0,0,0.0000,0.0000
Deschampsia pusilla,Gramineae,Deschampsia,Indigenous Endemic,Vascular,Unclassified,Graminoid,,Naturally Uncommon,1,1,0.0000,0.0000
Deschampsia tenella,Gramineae,Deschampsia,Indigenous Endemic,Vascular,Unclassified,Graminoid,Hair-grass;,Not Threatened,10,14,0.0000,0.0000
Deyeuxia forsteri var. pilosa,,,Unknown,Vascular,Unclassified,Graminoid,,Unknown,0,0,0.0000,0.0000
Dianella haematica,Asphodelaceae,Dianella,Indigenous Endemic,Vascular,Unclassified,Graminoid,,Not Threatened,2,3,0.0000,0.0000
Dianella latissima,Asphodelaceae,Dianella,Indigenous Endemic,Vascular,Unclassified,Graminoid,,Not Threatened,8,8,0.0000,0.0000
Dianella nigra,Asphodelaceae,Dianella,Indigenous Endemic,Vascular,Unclassified,Graminoid,blue-berry; Blueberry (NZ); Ink berry; P?pepe; Piopio; R?ua; T?rutu;,Not Threatened,654,934,0.0008,0.0006
Dianthus armeria,Caryophyllaceae,Dianthus,Exotic,Vascular,Unclassified,Forb,Deptford pink;,Not threatened (assumed),147,168,0.0000,0.0000
Dianthus caryophyllus,Caryophyllaceae,Dianthus,Exotic,Vascular,Unclassified,Forb,Carnation; Clove pink;,Not threatened (assumed),0,0,0.0000,0.0000
Dianthus deltoides,Caryophyllaceae,Dianthus,Exotic,Vascular,Unclassified,Forb,Maiden pink;,Not threatened (assumed),0,0,0.0000,0.0000
Dibaeis absoluta,Icmadophilaceae,Dibaeis,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Dibaeis arcuata,Icmadophilaceae,Dibaeis,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Dichanthelium lanuginosum,Gramineae,Dichanthelium,Unknown,Vascular,Unclassified,Graminoid,,Not threatened (assumed),1,1,0.0000,0.0000
Dichanthelium lindheimeri,Gramineae,Dichanthelium,Exotic,Vascular,Unclassified,Graminoid,,Not threatened (assumed),0,0,0.0000,0.0000
Dichanthelium sphaerocarpon,Gramineae,Dichanthelium,Exotic,Vascular,Unclassified,Graminoid,,Not threatened (assumed),0,0,0.0000,0.0000
Dichelodontium nitidum,Ptychomniaceae,Dichelodontium,Indigenous Endemic,Non Vascular,Unclassified,Nonvascular,,Not threatened (assumed),0,0,0.0000,0.0000
Dichondra brevifolia,Convolvulaceae,Dichondra,Indigenous Non-Endemic,Vascular,Unclassified,Forb,dichondra;,Not Threatened,19,20,0.0000,0.0000
Dichondra repens,Convolvulaceae,Dichondra,Indigenous Non-Endemic,Vascular,Unclassified,Forb,Creeping dichondra; Kidney weed; Mercury Bay weed;,Not Threatened,174,226,0.0000,0.0001
Dicksonia fibrosa,Dicksoniaceae,Dicksonia,Indigenous Endemic,Vascular,Unclassified,Treefern,Golden tree fern; Kuranui-p?k?; kur?p?k?; p?nui; T?kirunga; wek?; whek?; Whek?-k?hunga; whek?-ponga;,Not Threatened,234,366,0.0007,0.0005
Dicksonia lanata,Dicksoniaceae,Dicksonia,Indigenous Endemic,Vascular,Unclassified,Treefern,stumpy tree fern; t??kura; t??kura;,Not threatened (assumed),198,292,0.0018,0.0013
Dicksonia lanata subsp. hispida,Dicksoniaceae,Dicksonia,Indigenous Endemic,Vascular,Unclassified,Treefern,stumpy tree fern; t??kura; t??kura;,Naturally Uncommon,0,0,0.0000,0.0000
Dicksonia lanata subsp. lanata,Dicksoniaceae,Dicksonia,Indigenous Endemic,Vascular,Unclassified,Treefern,stumpy tree fern; t??kura; t??kura;,Not Threatened,0,0,0.0000,0.0000
Dicksonia squarrosa,Dicksoniaceae,Dicksonia,Indigenous Endemic,Vascular,Not Selected,Treefern,Atewheki; harsh tree fern; Pakue; P?hiakura; rough tree fern; Tio; Tirawa; t??kura; Tukura; t??kura; Uruuruwhenua; whek?;,Not Threatened,3030,5098,0.0182,0.0126
Dicnemon calycinum,Dicnemonaceae,Dicnemon,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Dicnemon dixonianum,Dicnemonaceae,Dicnemon,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Dicnemon semicryptum,Dicnemonaceae,Dicnemon,Indigenous Endemic,Non vascular,Unclassified,NonVascular,,Not threatened (assumed),1,1,0.0000,0.0000
Dicranella vaginata,Dicranaceae,Dicranella,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),2,2,0.0000,0.0000
Dicranoloma billardierei,Dicranaceae,Dicranoloma,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),31,31,0.0000,0.0001
Dicranoloma dicarpum,Dicranaceae,Dicranoloma,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),1,1,0.0000,0.0000
Dicranoloma fasciatum,Dicranaceae,Dicranoloma,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Dicranoloma menziesii,Dicranaceae,Dicranoloma,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),12,12,0.0000,0.0000
Dicranoloma obesifolium,Dicranaceae,Dicranoloma,Indigenous Endemic,Non vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Dicranoloma platycaulon,Dicranaceae,Dicranoloma,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),8,8,0.0000,0.0000
