Species,Family,Genus,BioStatus,PlantType,Palatibility,GrowthForm,VernacularNames,ThreatenedStatus,NumPlots,NumObs,Cover,CoverCombined
Leptinella squalida,Compositae,Cotula,Indigenous Endemic,Vascular,Unclassified,Forb,,Not threatened (assumed),161,219,0.0000,0.0001
Leptinella squalida subsp. mediana,Compositae,Cotula,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,0,0,0.0000,0.0000
Leptinella squalida subsp. squalida,Compositae,Leptinella,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,0,0,0.0000,0.0000
Leptinella traillii,Compositae,Cotula,Indigenous Endemic,Vascular,Unclassified,Forb,,Not threatened (assumed),4,6,0.0000,0.0000
Leptinella traillii subsp. pulchella,Compositae,Leptinella,Indigenous Endemic,Vascular,Unclassified,Forb,,Nationally Vulnerable,0,0,0.0000,0.0000
Leptobryum pyrethrifolia,Meesiaceae,Leptobryum,Unknown,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),6,6,0.0000,0.0000
Leptobryum pyriforme,Meesiaceae,Leptobryum,Exotic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Leptodictyum riparium,Amblystegiaceae,Amblystegium,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Leptodon smithii,Leptodontaceae,Leptodon,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),1,1,0.0000,0.0000
Leptodontium interruptum,Pottiaceae,Leptodontium,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Leptogium aucklandicum,Collemataceae,Leptogium,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Leptogium austroamericanum,Collemataceae,Leptogium,Indigenous Non-Endemic,Non Vascular,Unclassified,Nonvascular,,Not threatened (assumed),0,0,0.0000,0.0000
Leptogium biloculare,Collemataceae,Leptogium,Indigenous Non-Endemic,Non Vascular,Unclassified,Nonvascular,,Not threatened (assumed),0,0,0.0000,0.0000
Leptogium burgessii,Collemataceae,Leptogium,Indigenous Non-Endemic,Non Vascular,Unclassified,Nonvascular,,Not threatened (assumed),0,0,0.0000,0.0000
Leptogium coralloideum,Collemataceae,Leptogium,Indigenous Non-Endemic,Non Vascular,Unclassified,Nonvascular,,Not threatened (assumed),0,0,0.0000,0.0000
Leptogium crispatellum,Collemataceae,Leptogium,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Leptogium cyanescens,Collemataceae,Leptogium,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Leptogium cyanizum,Collemataceae,Leptogium,Indigenous Non-Endemic,Non Vascular,Unclassified,Nonvascular,,Not threatened (assumed),0,0,0.0000,0.0000
Leptogium denticulatum,Collemataceae,Leptogium,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Leptogium laceroides,Collemataceae,Leptogium,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Leptogium limbatum,Collemataceae,Leptogium,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Leptogium malmei,Collemataceae,Leptogium,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Leptogium menziesii,Collemataceae,Leptogium,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Leptogium philorheuma,Collemataceae,Leptogium,Indigenous Non-Endemic,Non Vascular,Unclassified,Nonvascular,,Not threatened (assumed),0,0,0.0000,0.0000
Leptolepia novae-zelandiae,Dennstaedtiaceae,Leptolepia,Indigenous Endemic,Vascular,Unclassified,Fern,lace fern;,Not Threatened,148,226,0.0000,0.0001
Leptophyllopsis laxa,Lophocoleaceae,Leptophyllopsis,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,,Not threatened (assumed),1,1,0.0000,0.0000
Leptopteris hymenophylloides,Osmundaceae,Leptopteris,Indigenous Endemic,Vascular,Avoided,Fern,crepe fern; heruheru; Ngutukiwi; single crepe fern;,Not Threatened,1112,1813,0.0000,0.0010
Leptopteris superba,Osmundaceae,Leptopteris,Indigenous Endemic,Vascular,Avoided,Fern,crepe fern; heruheru; Huruhuru-o-nga-waewae-o-Paoa; Maikukumoa; ngutuk?k?riki; Ngutungutu; ngutungutu kiwi; Ngutungutukiwi; Prince of Wales' feathers; Prince of Wales feathers fern; P?niu; p?nui; T?t?; T?t? kura;,Not Threatened,775,1418,0.0000,0.0007
Leptopteris xintermedia,Osmundaceae,Leptopteris,Unknown,Vascular,Avoided,Fern,,Not threatened (assumed),1,1,0.0000,0.0000
Leptoscyphus australis,Lophocoleaceae,Chiloscyphus,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),1,1,0.0000,0.0000
Leptoscyphus beckettianus,Lophocoleaceae,Chiloscyphus,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Leptoscyphus compactus,Lophocoleaceae,Chiloscyphus,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),1,1,0.0000,0.0000
Leptoscyphus excipulatus,Lophocoleaceae,Leptoscyphus,Indigenous Non-Endemic,Non Vascular,Unclassified,Nonvascular,,Not threatened (assumed),0,0,0.0000,0.0000
Leptoscyphus idiodontus,Lophocoleaceae,Leptoscyphus,Indigenous Non-Endemic,Non Vascular,Unclassified,Nonvascular,,Not threatened (assumed),0,0,0.0000,0.0000
Leptoscyphus nanophysanthodes,Lophocoleaceae,Leptoscyphus,Indigenous Endemic,Non Vascular,Unclassified,Nonvascular,,Not threatened (assumed),0,0,0.0000,0.0000
Leptoscyphus physanthus,Lophocoleaceae,Heteroscyphus,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Leptospermum repo,Myrtaceae,Leptospermum,Indigenous Endemic,Vascular,Unclassified,Unknown,,Not threatened (assumed),0,0,0.0000,0.0000
Leptospermum scoparium,Myrtaceae,Leptospermum,Indigenous Non-Endemic,Vascular,Avoided,Tree,Kahik?toa; K?toa; M?nuka; Pata; Rauiri; Rauwiri; Red tea tree; Tea tree;,Not threatened (assumed),1564,2092,0.0183,0.0126
Leptospermum scoparium var. incanum,Myrtaceae,Leptospermum,Indigenous Endemic,Vascular,Avoided,Tree,,Nationally Vulnerable,0,0,0.0000,0.0000
Leptospermum scoparium var. scoparium,Myrtaceae,Leptospermum,Indigenous Non-Endemic,Vascular,Avoided,Tree,,Declining,0,0,0.0000,0.0000
Leptostigma setulosum,Rubiaceae,Leptostigma,Indigenous Endemic,Vascular,Unclassified,SubShrub,Nertera;,Not Threatened,62,63,0.0000,0.0000
Leptostomum inclinans,Leptostomataceae,Leptostomum,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),4,4,0.0000,0.0000
Leptostomum macrocarpum,Leptostomataceae,Leptostomum,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Leptotheca gaudichaudii,Orthodontiaceae,Leptotheca,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),5,5,0.0000,0.0000
Lepturus repens,Gramineae,Lepturus,Indigenous Non-Endemic,Vascular,Unclassified,Graminoid,,Vagrant,0,0,0.0000,0.0000
Lepturus repens var. cinereus,Gramineae,Lepturus,Unknown,Vascular,Unclassified,Graminoid,,Not threatened (assumed),0,0,0.0000,0.0000
Lepyrodon australis,Lepyrodontaceae,Lepyrodon,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Lepyrodon lagurus,Lepyrodontaceae,Lepyrodon,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Leratia obtusifolia,Orthotrichaceae,Bryomaltaea,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Lethocolea pansa,Acrobolbaceae,Lethocolea,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Leucanthemum maximum,Compositae,Leucanthemum,Exotic,Vascular,Unclassified,Forb,shasta daisy;,Not threatened (assumed),1,1,0.0000,0.0000
Leucanthemum vulgare,Compositae,Chrysanthemum,Exotic,Vascular,Unclassified,Forb,oxeye daisy; Ox-eye daisy;,Not threatened (assumed),111,125,0.0000,0.0001
Leucobryum javense,Leucobryaceae,Leucobryum,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),81,81,0.0000,0.0000
