Species,DistanceToNearestRiver,Aspect Eastness,Aspect Northness,Elevation,Latitude,BIOEnd12,Slope,pH,BIOEnd1,WindExposition,BIOEnd3,RedDeer,BIOEnd7,BIOEnd15
Pseudopanax arboreus,0.04159481811275085,0.03708932495891902,0.0578320668565877,0.12207582749840143,0.06101711619293379,0.15623532476836308,0.09076394910051813,0.08758106645751532,0.05861298689032733,0.06340237854737232,0.064084175347063,0.005394358904280886,0.052552408990665975,0.1017641973743012
Elaeocarpus dentatus,0.08179001479442552,0.06558558973559193,0.056038029387269504,0.09904971114158895,0.11616282560265567,0.20270623355628634,0.048964663327685745,0.049413300894560676,0.049560366259068796,0.07079227003635472,0.0432768083713162,0.0053227365184297685,0.06669307778546553,0.044644372589300735
Olearia rani,0.051840314108530024,0.04965259409093516,0.07951786084664428,0.07548502121909649,0.11951719577826625,0.06374953437161142,0.05757248978959156,0.06890345461471604,0.09560529411945577,0.06193184948925197,0.07607615042643034,0.014730651329706237,0.11734654693378652,0.06807104288197793
Aristotelia serrata,0.06183966338553976,0.049261928139341674,0.058268859195270695,0.0714652531627654,0.09241769562009991,0.08884272920987285,0.10140874094365993,0.0767430862456122,0.08921852567235658,0.0585155623025074,0.11424493647776066,0.00385689413437325,0.05239095167894059,0.08152517383189903
Dacrydium cupressinum,0.0549143626269096,0.050970183657009074,0.06997875016627161,0.04760302290861207,0.13045424381613474,0.15009406594071498,0.03568778617842207,0.07176654330034485,0.0850926562927521,0.059247195739355996,0.046383956393917035,0.05689843833615511,0.08670018314671298,0.054208611496687875
Elaeocarpus hookerianus,0.05374539766917079,0.06589605663280124,0.06346082068969616,0.07153500658322513,0.11409180651205783,0.09214814406251139,0.06969265790057713,0.1332064650570006,0.06362358087241082,0.05991738796311626,0.05600016562333976,0.010438406383340261,0.060796822574126885,0.08544728147662578
Leptospermum scoparium,0.05904257631103657,0.05545700159464159,0.05677366446301377,0.10748107822222387,0.09440235273099655,0.07826871491312849,0.082573077633846,0.05571171568832034,0.08184224376061809,0.060830612207978585,0.0679606438738361,0.0162427944551356,0.08626572359509682,0.0971478005501277
Coprosma linariifolia,0.05929504187058251,0.047840632864256334,0.05816246785319089,0.06208331370922223,0.09163315884250763,0.13350632744562482,0.08188928166873746,0.057478099556459335,0.058988772218089985,0.06792168756634365,0.06748208622864937,0.001990423176892552,0.04129633431024026,0.17043237268920308
Pseudopanax linearis,0.055247727303981656,0.048863280256889484,0.0653325810427761,0.10062978776601804,0.07232977598157074,0.09188006932417607,0.04833674014826114,0.04894408684557933,0.14650073645916822,0.07290772974991917,0.1024961950643539,0.0,0.0717847128438757,0.07474657721343042
Fuchsia excorticata,0.04503796251536957,0.0494357329642716,0.042712906030646564,0.11279949169160738,0.09829900499466043,0.04152963494877679,0.03509841205064405,0.06275461897200266,0.06847887054964923,0.038110663952748494,0.046534292797006854,0.003847946683571566,0.22432987814212413,0.1310305837069207
Podocarpus laetus,0.07182555114546357,0.05512935520959742,0.0507313504721143,0.06559363895357867,0.1394735977768229,0.06874918466286413,0.04229674605588222,0.08097626042538844,0.14323880108391784,0.05136112824638925,0.06921258318912317,0.005436553266553155,0.0835214093716215,0.07245384014068341
Coprosma foetidissima,0.054477054527080834,0.042544537140236094,0.05012936123876289,0.06926576213711279,0.14173199173261478,0.1350529725960023,0.05094399029501167,0.05075271079765434,0.06148557363204108,0.06757685747257251,0.07146683118954651,0.0044957809312442315,0.09593040366894984,0.10414617264117021
Leucopogon fasciculatus,0.09887186392993347,0.04809043162297829,0.05975003515617171,0.06884375222912054,0.08203918398283393,0.10087778629630464,0.07885377976519949,0.08915542072970449,0.06639664435846009,0.07905733773613446,0.05599927058639876,0.004835443538691515,0.0848610815280556,0.082367968540013
Carpodetus serratus,0.06397952840115445,0.04563727320344153,0.029039281875687724,0.13722664825592687,0.11033771463249523,0.05608213838897011,0.10323630862180552,0.06924860656697074,0.07771366277965563,0.0500696688074286,0.09949233093580576,0.0271282530360329,0.0753855853393761,0.05542299915524885
Fuscospora cliffortioides,0.0595916516698065,0.07486192115842963,0.059484969267776085,0.07129730539051829,0.10270599902521448,0.09855682356154366,0.05384484443364749,0.06577247504173792,0.08418444060717652,0.0698106392798768,0.10055497738582533,0.00306841093877748,0.08538278761796853,0.07088275462170127
Brachyglottis repanda,0.04424889419831082,0.029922904738979537,0.03988568767758949,0.049070636998562636,0.12643274882059996,0.11736488772776771,0.07583266086314852,0.03606624233272946,0.06651019445691957,0.042750829779931304,0.09519940714946049,0.09146219854476337,0.1382671765626364,0.04698553014860082
