Species,DistanceToNearestRiver,Aspect Eastness,Aspect Northness,Elevation,Latitude,BIOEnd12,Slope,pH,BIOEnd1,WindExposition,BIOEnd3,RedDeer,BIOEnd7,BIOEnd15
Olearia rani,0.05326903176295711,0.05314397141046462,0.09963950322831594,0.06717432633811345,0.08907199216857205,0.06403643754298376,0.05496317454123381,0.0661172332492528,0.09799806228900783,0.05431687801783309,0.07087056885710342,0.025288812746343453,0.11498545395331627,0.0891245538945024
Pectinopitys ferruginea,0.07924823858789151,0.09254819852886374,0.08237436168434513,0.07110393299248847,0.06271794184255232,0.0914374366505109,0.047285657242630175,0.07298518223447786,0.07414628577393809,0.08657036921771034,0.07132586292518839,0.006093941244990472,0.07702742255438261,0.08513516852003004
Fuscospora fusca,0.04110306681836586,0.0347049232406161,0.039425784604149916,0.08997402079512712,0.17075800502652702,0.04810590571986207,0.05407930268711858,0.10520906230509908,0.1035831686929265,0.05945203032834118,0.050056283300813936,0.0006115172020051435,0.1326013478465128,0.07033558143253468
Metrosideros diffusa,0.046298751617789326,0.10189474712895216,0.0603313068570948,0.0650890586028856,0.10079925754108769,0.0893593585013229,0.08081581045880955,0.05481520831420911,0.055832604732703114,0.0439468567470078,0.15572377315021613,0.014572556516824353,0.05805972191402342,0.07246098791707405
Coprosma foetidissima,0.06451152401934485,0.04457001345759822,0.0557939244215614,0.07712933934842038,0.12796324422133,0.12853434873835926,0.05245144770271297,0.04791244479990703,0.067900659856323,0.06508056721274787,0.05972947011428774,0.0032056520975351486,0.0982061122807079,0.10701125172916426
Lophozonia menziesii,0.038835990140006896,0.03992900020452515,0.03509660138915296,0.102085622359903,0.12039317600328672,0.09315234229874322,0.033152087755419224,0.13282280540275573,0.22640276247088606,0.032114340111413335,0.04772197576693043,0.0029980493184637094,0.050057308906970154,0.045237937871543454
Brachyglottis repanda,0.044591066221267975,0.02564475137483995,0.04318626832816468,0.05894477333015327,0.1325977413692198,0.08974691109838863,0.07456962826611133,0.03675222287967741,0.08987595334455227,0.04283195817242922,0.06646030834316324,0.12449533292329343,0.11814348136408621,0.05215960298465253
Archeria traversii,0.04544243769762088,0.04862175968335445,0.08795950198203667,0.049193375277814456,0.09684407480900277,0.09718837866055519,0.09205653622193942,0.10201574961640655,0.06645247915815938,0.05436030216705077,0.0593091597673595,0.0004235868488224694,0.13818166013312536,0.06195099797675219
Cyathea dealbata,0.048331092671563804,0.06294741045720757,0.048561696013648535,0.08083171792755284,0.06894780977072766,0.09914981962298473,0.04546709113074654,0.15237195866540623,0.0697012468404576,0.050405119699287626,0.08410850809018128,0.002979736790398922,0.08985432141283062,0.0963424709070061
Coprosma lucida,0.03817999586012073,0.05534249877330251,0.04504488686646387,0.07063793287928079,0.14265318382127595,0.10937690500572561,0.050193981900164025,0.08805200724446768,0.06585650249448322,0.07658978649507735,0.058364373858765986,0.058272959748871644,0.06362704553044904,0.07780793952155153
Cyathea cunninghamii,0.051926844649424396,0.04260089049623139,0.05906020089766083,0.06623019308696163,0.0581055296329291,0.10479756319039422,0.05275178010327071,0.17031068269210278,0.08105467168672942,0.038617057290918806,0.10629593188570377,0.009498328676704141,0.08236332538043846,0.07638700033053036
Metrosideros fulgens,0.02943586638992593,0.028615752552892535,0.03560971599843933,0.10734007980685897,0.10484113985145499,0.08946314813906223,0.06770480546153043,0.044855225622496636,0.05357092082373063,0.056810674976036354,0.2216924935880245,0.00559535480616894,0.11364109658779956,0.04082372539557894
Dicksonia squarrosa,0.07045661462167344,0.0550623483630876,0.05483024602678524,0.09289291327318396,0.0695267406948239,0.08245353539513728,0.05402674635635894,0.06260156981239416,0.08223423852021823,0.055471893041122454,0.09996235145463749,0.009043742157289652,0.11983738828846305,0.09159967199482469
Neomyrtus pedunculata,0.05972381277396867,0.08302582711235987,0.04228491904707591,0.10841200116168323,0.14077480525685288,0.10773530202659365,0.05188733390867225,0.0541718877944003,0.06634206325563191,0.0600155031949432,0.06421765345035628,0.022594446180165043,0.07404526563709778,0.06476917920019903
Pseudowintera colorata,0.07946054920392784,0.05175677592675777,0.05486805639724136,0.0792318741174538,0.11482388591399961,0.07956810522425442,0.07557951719820569,0.07614805193556817,0.08871678966783923,0.06961811948548585,0.080312086151095,0.0047640236357479725,0.08520696846119545,0.059945196681227844
Metrosideros robusta,0.036926392926994386,0.09285430420860233,0.07061503562021976,0.09035225147133205,0.08067045422810389,0.07949017837078709,0.05896232765949987,0.052382620258395046,0.07748431263924782,0.06070088289843919,0.12997723940449046,0.012065770008314165,0.08377605281017092,0.07374217749540306
Nestegis cunninghamii,0.05775936026974983,0.035426077938800093,0.057833962350431506,0.05341759346265239,0.19659040259564603,0.05534398073751008,0.04646909640819946,0.06727198153551303,0.051873561691441465,0.14422768050177295,0.09229630522504756,0.004012823554491564,0.0777378400252314,0.05973933370351268
