Species,Aspect Eastness,Aspect Northness,BIOEnd1,BIOEnd12,BIOEnd15,BIOEnd3,BIOEnd7,DistanceToNearestRiver,Elevation,Latitude,RedDeer,Slope,WindExposition,pH
Elaeocarpus dentatus,-0.1656630939321739,-0.0544169022938751,-0.1878638475125313,0.6692280731322408,-0.2985886093345792,-0.086787329093478,-0.1044824494634107,-0.1843610488123895,-0.0685276181003861,-0.3936201125024109,-0.1497501393249082,0.1242000914381972,-0.2767158731832571,-0.4578657712649446
Fuchsia excorticata,-0.0641937488372545,0.0350627908160066,0.2364322649153259,-0.1619518779670202,0.3652643842291795,0.2137476923358065,0.4950382929600124,-0.1799691025501462,0.0804919704196021,0.4761832849777915,-0.0535735617503915,-0.0276945517634972,-0.0816741754979939,0.1206225396740663
Fuscospora cliffortioides,0.2578125433212717,0.0093531769316762,0.1510533490925663,-0.2370035318798996,0.3883221585191179,0.068068745690151,0.2368102040782363,0.0575863402089266,-0.0487859047733113,0.0707351972504991,0.1468714830357567,-0.0989823850285467,0.039391059623751,0.3357436338167903
Fuscospora fusca,0.0743112175057664,-0.1024436078656576,0.5639492929948532,-0.4209380073375359,0.2479683886647262,0.4159798902641309,-0.0721160734586485,-0.0110001101249166,-0.4405925303259494,0.4403670876802611,0.2633155639490204,-0.5309583230885917,-0.0761269505740465,0.6411944916270128
Fuscospora solandri,0.0499631909693673,-0.0151355628265718,-0.4293165337651658,0.0081682991735553,-0.2841339845539296,-0.7367743543537721,-0.2150013479551021,0.0438713715340007,0.656667852658393,0.0524411396979941,-0.2251506306206539,0.3773773396891334,0.4597857871228483,-0.0380995003962953
Geniostoma ligustrifolium,-0.0083197157360072,0.0287442342007045,0.6915209304544525,-0.2265839071492638,0.3009140382518147,0.1608161319560151,-0.358483962646146,0.1387563683082749,-0.6919892652556445,0.3005423362667125,0.7004860096853852,-0.3871727954480808,-0.2862325700692533,0.3021668474901622
Griselinia littoralis,0.1068465000374285,-0.0024994394710483,0.2090880607637707,0.3390905493551325,-0.1479122735707473,-0.0087127647197666,-0.1665802848720492,-0.131020569301964,-0.1129502321852185,0.2490073301544798,0.1325863609964102,-0.0742266249775722,-0.0507558414546594,-0.0714666644954085
Hedycarya arborea,-0.0244828213846036,-0.1447588436481969,0.5358384399865366,-0.2458007102967334,0.3318941898008914,0.09126065736726,-0.3508692452682403,0.0039794383342317,-0.6035882055916625,0.1849017973847057,0.3978384956422189,-0.3695623348931118,-0.4031778910615228,0.3504692985453135
Knightia excelsa,0.0676431724061412,-0.2151304672619678,-0.0678364163753738,0.186093106166122,-0.1693519486604978,-0.2088293793016636,-0.1529241718259586,0.1188877531705825,0.0016081048183127,-0.177085963424357,-0.1229003147588492,0.2393882167081235,0.1650132175166761,-0.1689937495804162
Kunzea ericoides,0.0058561093777406,-0.0025569322280262,-0.5290921591387101,0.0630613411035535,-0.2633285464837233,-0.1839922580676313,0.0557512343908999,-0.1304461356239554,0.2734299728516676,-0.5932793026287405,-0.0113199015229315,0.0546284731682966,0.1283488402032593,-0.1401375089776043
