Species,Aspect Eastness,Aspect Northness,BIOEnd1,BIOEnd12,BIOEnd15,BIOEnd3,BIOEnd7,DistanceToNearestRiver,Elevation,Latitude,RedDeer,Slope,WindExposition,pH
Didymocheton spectabilis,-0.2223728995306755,0.0381086228932815,-0.1333977556969483,-0.5243613676186536,0.1113156562217725,0.085669657469126,0.3442951799146255,0.1776547515022301,-0.1257199026473844,-0.4114470895451964,-0.1351868987543251,-0.1879068292464486,-0.1311672609321041,0.3505210511483828
Dracophyllum longifolium,0.1242855942224227,0.011166327382868,-0.4364414683421096,0.4037718531883406,-0.2290789909142039,-0.4190864805217106,0.0402669673296533,-0.1288562400830074,0.4258489881858966,-0.1812939316901124,-0.2998053144909662,0.4909980345777356,-0.1306294674305911,-0.366010515640135
Dracophyllum traversii,0.1023430979053209,-0.0273167597494693,-0.8139341529953754,0.341616681871376,-0.3887035240881056,-0.6846504702997501,0.0209451489998155,0.1540150360561037,0.8305589829830199,-0.4535535739927747,-0.2527200941656888,0.6407884488173295,0.383065955311451,-0.3469645022643355
Elaeocarpus dentatus,-0.2937403562339439,0.137344883868663,-0.3641114795104764,0.3847343813751107,-0.2808573488079218,-0.24557800753452,-0.0255615653350792,-0.0873209978106507,0.2489698549938394,-0.2883919206804062,-0.3009191003998689,0.2442359037816686,0.1128137238396738,-0.3525692615393692
Elaeocarpus hookerianus,0.1079935077891757,0.0215251231438337,0.4565260839655695,-0.4266388659160932,0.3568942705684834,0.4566213064297489,0.2899210646915878,-0.0532861609892075,-0.2697614405033298,0.4208832895137878,0.0947249315751298,-0.2954330268934508,-0.1186295535191619,0.2975495723398206
Fuchsia excorticata,0.00825202797247,0.0768877145856752,-0.1049350410794065,-0.1281099891528722,0.2487905044119129,0.1905426916752075,0.7481364791630271,-0.1870336153734942,0.2533269073667266,0.1030178893201771,-0.1107791725487518,0.0288724859480845,-0.0485029277238376,0.0298829432305264
Fuscospora cliffortioides,0.1837009527825719,0.0456657058481405,0.3994145581850026,0.2825366169112441,0.0717664886612576,-0.0291006328353761,-0.1835228664489051,-0.0262625122504202,-0.2223547648892607,0.3411363563015858,-0.1772366717764713,0.1212708176343072,0.0094326809935045,-0.0424389996078174
Fuscospora fusca,0.0274492343464363,-0.0644369935127882,0.5770840173496726,-0.1337994312367748,0.0369528137781151,0.296091194864146,-0.3834034867387627,0.0109298478330888,-0.5433159757591677,0.3722276318570361,0.1507115362420217,-0.4273392558804831,-0.0339607058264795,0.3484564145946108
Fuscospora solandri,0.1475151627973893,-0.0557566761989378,-0.5419195142603421,-0.1865240376264113,-0.1925124875746361,-0.5540844876433911,-0.0896874122928292,0.0788645429485238,0.636416044630012,-0.1949307804749616,-0.114237816088601,0.4293269617790501,0.4898151260342425,0.0094051733339988
Fuscospora truncata,-0.3489578221252242,-0.2058896088233118,-0.2209562134137735,0.5179891079549749,-0.4947343187323155,-0.2903073689731145,-0.2029689577447589,0.1283726155489803,0.2488431516491549,-0.0457602493372645,-0.20941491143778,0.2522323917757589,0.3822858720827199,-0.4156969371512964
